encoder,lang,L,seed,acc,macro_f1,regime,n_test,pooling,normalize_l2,classifier,backend
comet-wmt22-comet-da-MOCK,nl,64,0,0.9166666666666666,0.39126984126984127,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,128,0,0.9555555555555556,0.4097078075255225,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,128,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,128,0,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,128,0,0.9166666666666666,0.39247921390778534,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,128,0,0.9166666666666666,0.39229024943310664,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,128,0,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,256,0,0.9833333333333333,0.42152190255005434,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,256,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,256,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,256,0,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,256,0,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,256,0,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,512,0,0.9944444444444445,0.42618898716459697,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,512,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,512,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,512,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,512,0,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,512,0,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,16,1,0.5777777777777777,0.24832781473802634,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,16,1,0.6388888888888888,0.26868343296914726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,16,1,0.5,0.20923177351748776,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,16,1,0.5833333333333334,0.24546485260770975,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,16,1,0.6944444444444444,0.2854634783206212,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,16,1,0.4722222222222222,0.21383219954648527,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,32,1,0.7388888888888889,0.3163417069990237,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,32,1,0.75,0.314601800316086,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,32,1,0.75,0.3210128495842781,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,32,1,0.5833333333333334,0.25207860922146635,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,32,1,0.9166666666666666,0.39334845049130757,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,32,1,0.6944444444444444,0.28454270597127734,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,64,1,0.9166666666666666,0.39290611267504716,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,64,1,0.9166666666666666,0.39247921390778534,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,64,1,0.9166666666666666,0.39247921390778523,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,64,1,0.8888888888888888,0.38057445200302337,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,64,1,0.9166666666666666,0.39334845049130757,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,64,1,0.9444444444444444,0.4054421768707483,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,128,1,0.9722222222222222,0.4166927565142331,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,128,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,128,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,128,1,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,128,1,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,128,1,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,256,1,0.9833333333333333,0.4214151478042914,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,256,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,256,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,256,1,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,256,1,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,256,1,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,512,1,0.9944444444444445,0.42618898716459697,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,512,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,512,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,512,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,512,1,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,512,1,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,16,2,0.6111111111111112,0.2618581644897435,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,16,2,0.6944444444444444,0.2884834741977599,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,16,2,0.4722222222222222,0.1889848246991104,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,16,2,0.5555555555555556,0.23408919123204835,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,16,2,0.6944444444444444,0.29236583522297804,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,16,2,0.6388888888888888,0.2759327973613687,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,32,2,0.7666666666666667,0.3287966985641404,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,32,2,0.7777777777777778,0.3264687693259122,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,32,2,0.75,0.3170068027210884,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,32,2,0.75,0.3201436130007559,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,32,2,0.8611111111111112,0.3599395313681028,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,32,2,0.6944444444444444,0.28791314505600224,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,64,2,0.9277777777777778,0.39779479294254605,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,64,2,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,64,2,0.9166666666666666,0.39247921390778534,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,64,2,0.9166666666666666,0.39266817838246415,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,64,2,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,64,2,0.9166666666666666,0.39126984126984127,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,128,2,0.9666666666666667,0.4144650101004401,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,128,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,128,2,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,128,2,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,128,2,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,128,2,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,256,2,0.9833333333333333,0.42152190255005434,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,256,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,256,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,256,2,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,256,2,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,256,2,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,512,2,0.9944444444444445,0.42618898716459697,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,512,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,512,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,512,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,512,2,0.9722222222222222,0.41647770219198793,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,512,2,1.0,0.42857142857142855,train_short,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,all,16,0,0.5888888888888889,0.25236765886810675,probe_per_length,180,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,en,16,0,0.6666666666666666,0.27593623307909027,probe_per_length,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,fr,16,0,0.4722222222222222,0.17757242757242755,probe_per_length,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,hu,16,0,0.5555555555555556,0.24780801209372635,probe_per_length,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,it,16,0,0.7222222222222222,0.30975056689342406,probe_per_length,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,nl,16,0,0.5277777777777778,0.2326094540380254,probe_per_length,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,all,16,1,0.5722222222222222,0.24529706619489897,probe_per_length,180,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,en,16,1,0.6388888888888888,0.27090977805263516,probe_per_length,36,mean,False,logreg,mock
xlmr-xlm-roberta-large-MOCK,fr,16,1,0.4444444444444444,0.18677935820792965,probe_per_length,36,mean,False,logreg,mock
