metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
comet,k=3,power_mean,4063,3,0.8985060540573382,0.04973573913792827,0.8977952940426261,0.04990958448888736,-24380.382025585768,-24361.452994897805,-0.6473723195844717,-0.9473723195844714,-0.3473723195844709,-0.1401590155540943,1.0884095357096564
comet,k=3,softmin,4063,3,0.8988607645659679,0.04964875251917191,0.8981133770919013,0.04983185928121752,-24394.606648215067,-24375.677617527104,0.4195230850042153,0.37390034307876996,0.49860412098875945,-0.14442666175609395,1.0942982014733829
comet,k=4,mean,5280,2,0.8567534075049933,0.05848693753053426,0.8548987417704835,0.05886434567567078,-29975.33142779806,-29962.188065044662,,,,-0.2465415441974667,1.1817964386785573
comet,k=4,min,5280,2,0.7358283081561574,0.07942548408134081,0.7347066253583621,0.07959392724182865,-26743.8042024705,-26730.6608397171,,,,0.19377287053434547,0.7625320610015524
comet,k=4,max,5280,2,0.3131948629008591,0.12806589799286952,0.3102319111979316,0.12834184576907812,-21699.02097362147,-21685.877610868072,,,,-0.14377825967462632,0.9384290050342601
comet,k=4,median,5280,2,0.7801722058979281,0.07245327693294462,0.7778124952047291,0.07284110871067927,-27714.02930304232,-27700.88594028892,,,,-0.08530770709465646,0.9745390752182224
comet,k=4,power_mean,5280,3,0.8742243925953253,0.054804338907484124,0.8720151284561242,0.05528356615091999,-30660.091220356848,-30640.376176226746,-0.7361171925107015,-0.936117192510701,-0.48361719251070356,-0.1634867532572448,1.102884458678483
comet,k=4,softmin,5280,3,0.8749591539220684,0.05464402526639529,0.8732396712619476,0.05501845746663965,-30691.026598393335,-30671.311554263233,0.3969425675396252,0.3537754357049086,0.4717671256854136,-0.16862807446700723,1.1100690404596791
comet,k=6,mean,7714,2,0.8049643437226162,0.06762447735259694,0.8013647530555824,0.06824566514649336,-41555.71915261989,-41541.817568342354,,,,-0.2545101968404333,1.1854053147580443
comet,k=6,min,7714,2,0.6633576155613896,0.08884465611891405,0.6613696016226429,0.08910660237074851,-37345.118660347536,-37331.21707607,,,,0.23715212081512502,0.7239747971982051
comet,k=6,max,7714,2,0.20651566074304717,0.13640054117920056,0.2016372247860576,0.13681920203455797,-30731.03778411222,-30717.136199834684,,,,-0.17071700521865804,0.9495173675034112
comet,k=6,median,7714,2,0.7003965804913037,0.08381471961784506,0.6953657892197743,0.08451547766473469,-38244.27428716831,-38230.372702890774,,,,-0.04422057359383502,0.9171361723556167
comet,k=6,power_mean,7714,3,0.8215782906499696,0.06468011173488263,0.8174186055903669,0.06542973681141898,-42240.51580075686,-42219.66342434056,-0.8234770049010579,-1.1234770049010576,-0.5234770049010571,-0.15722304815685356,1.09229182934754
