metric,lang,lp,k,m,condition,severity,family,positions,chain_step,chain_plan,doc_id,family_id,block_id,n_tokens_src,n_tokens_tgt,truncated,S,s_1,s_2,s_3,s_4,s_5,s_6
cometkiwi,de,en-de_DE,4,3,minor_fluency,minor,fluency,"0,1,3",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6075025796890259,0.7569248676300049,0.7918607592582703,0.7538847327232361,0.5448604822158813,,
cometkiwi,de,en-de_DE,4,4,minor_fluency,minor,fluency,"0,1,2,3",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.5968478918075562,0.7569248676300049,0.7918607592582703,0.7350221872329712,0.5448604822158813,,
cometkiwi,de,en-de_DE,4,1,major_accuracy,major,accuracy,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.5223801732063293,0.4561581611633301,0.8077958822250366,0.7538847327232361,0.6796956062316895,,
cometkiwi,de,en-de_DE,4,2,major_accuracy,major,accuracy,"0,3",2,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.4883892238140106,0.4561581611633301,0.8077958822250366,0.7538847327232361,0.3915523886680603,,
cometkiwi,de,en-de_DE,4,3,major_accuracy,major,accuracy,"0,1,3",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.4055129587650299,0.4561581611633301,0.38023802638053894,0.7538847327232361,0.3915523886680603,,
cometkiwi,de,en-de_DE,4,4,major_accuracy,major,accuracy,"0,1,2,3",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.39350616931915283,0.4561581611633301,0.38023802638053894,0.35505637526512146,0.3915523886680603,,
cometkiwi,de,en-de_DE,4,1,major_fluency,major,fluency,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.4620361626148224,0.4316197633743286,0.8077958822250366,0.7538847327232361,0.6796956062316895,,
cometkiwi,de,en-de_DE,4,2,major_fluency,major,fluency,"0,3",2,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.45464956760406494,0.4316197633743286,0.8077958822250366,0.7538847327232361,0.38844379782676697,,
cometkiwi,de,en-de_DE,4,3,major_fluency,major,fluency,"0,1,3",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.4123517870903015,0.4316197633743286,0.42860475182533264,0.7538847327232361,0.38844379782676697,,
cometkiwi,de,en-de_DE,4,4,major_fluency,major,fluency,"0,1,2,3",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.4081719219684601,0.4316197633743286,0.42860475182533264,0.3471978008747101,0.38844379782676697,,
cometkiwi,de,en-de_DE,6,0,none,,,,0,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k6,411,449,False,0.5581157803535461,0.7897260785102844,0.8077958822250366,0.7538847327232361,0.6796956062316895,0.7863960266113281,0.8209083080291748
cometkiwi,de,en-de_DE,6,1,minor_accuracy,minor,accuracy,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k6,411,449,False,0.5319995880126953,0.7889728546142578,0.8077958822250366,0.7538847327232361,0.6796956062316895,0.7863960266113281,0.8209083080291748
